RA (J2000),Dec (J2000)
19 24 28.452,+41 45 38.74
19 25 14.551,+41 47 17.23
19 29 57.159,+41 44 37.43
19 31 07.708,+41 45 56.25
19 31 21.149,+41 44 55.50
19 31 29.381,+41 46 49.84
19 32 25.709,+41 45 44.50
19 32 40.341,+41 43 23.27
19 34 52.070,+41 45 20.27
19 51 46.601,+41 42 07.96
19 54 00.552,+41 42 27.65
19 54 26.256,+41 42 07.56
18 53 37.226,+41 49 41.05
18 55 37.229,+41 49 28.16
18 59 16.839,+41 50 09.20
19 07 13.044,+41 53 55.54
19 08 43.238,+41 52 00.34
19 08 57.945,+41 53 52.33
19 19 38.290,+41 51 54.68
19 20 19.857,+41 48 04.10
19 24 34.951,+41 48 36.29
19 25 50.311,+41 48 13.54
19 27 01.092,+41 53 10.82
19 27 36.327,+41 49 39.90
19 29 46.503,+41 48 36.90
19 33 25.289,+41 53 19.79
19 36 20.237,+41 52 40.22
19 47 38.045,+41 51 57.49
19 47 49.327,+41 52 26.98
19 51 58.279,+41 48 45.76
19 52 37.366,+41 48 56.09
19 53 21.862,+41 49 13.19
19 09 43.385,+41 57 08.17
19 18 32.914,+41 54 40.68
19 19 53.079,+41 59 16.84
19 25 46.066,+41 55 41.59
19 26 02.383,+41 58 41.92
19 26 23.565,+41 58 44.69
19 27 28.423,+41 58 22.15
19 32 20.213,+41 56 22.81
19 38 51.091,+41 57 57.13
19 55 23.472,+41 59 46.90
19 19 22.349,+42 05 01.93
19 24 56.016,+42 04 39.11
19 27 33.722,+42 03 02.63
19 42 43.709,+42 04 33.28
19 49 10.848,+42 00 42.05
18 59 11.259,+42 07 14.74
19 14 55.147,+42 08 51.32
19 36 15.422,+42 10 07.10
19 42 36.874,+42 09 15.05
19 44 02.081,+42 06 13.32
19 51 03.686,+42 11 28.25
19 54 29.112,+42 11 01.03
18 56 01.879,+42 13 34.72
19 05 02.832,+42 17 45.06
19 05 59.772,+42 12 24.08
19 09 36.482,+42 16 49.55
19 15 50.263,+42 13 06.46
19 22 52.826,+42 12 56.41
19 31 21.598,+42 14 51.04
19 34 16.651,+42 12 58.82
19 41 30.744,+42 12 11.12
19 52 49.808,+42 12 04.08
18 44 58.053,+42 23 03.44
18 54 41.194,+42 18 19.44
18 57 14.942,+42 19 59.05
19 14 50.906,+42 23 00.20
19 16 37.589,+42 21 00.29
19 25 29.402,+42 22 08.72
19 27 58.423,+42 19 16.28
19 28 47.211,+42 22 38.78
